Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
GXU,1.0,1,100000,360,45598,54402,2095.994666666605,15095.994666667111,0.0,42000.000000000015,-11983.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,2,100000,360,45510,54490,2104.167166666639,15104.167166666879,0.0,42000.000000000015,-11883.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,3,100000,360,45416,54584,2044.0169999999755,15044.017000000198,0.0,42000.000000000015,-11949.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,4,100000,360,45335,54665,2127.5739999999846,15127.57400000016,0.0,42000.000000000015,-11899.99999999999,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,5,100000,360,45499,54501,2087.3709999999933,15087.371000000005,0.0,42000.000000000015,-11916.666666666653,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,6,100000,360,45377,54623,2089.3351666666426,15089.335166666931,0.0,42000.000000000015,-11999.999999999985,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,7,100000,360,45473,54527,2140.9124999999704,15140.912500000155,0.0,42000.000000000015,-11999.999999999984,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,8,100000,360,45397,54603,2108.995666666637,15108.995666666839,0.0,42000.000000000015,-11916.666666666653,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,9,100000,360,45095,54905,2024.2471666666659,15024.247166666682,0.0,42000.000000000015,-11999.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,10,100000,360,45791,54209,2156.2678333332924,15156.267833333633,0.0,42000.000000000015,-11949.999999999987,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,11,100000,360,45266,54734,2068.667333333328,15068.667333333306,0.0,42000.000000000015,-11966.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,12,100000,360,45317,54683,2116.844666666614,15116.844666666915,0.0,42000.000000000015,-11966.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,13,100000,360,45237,54763,2085.995166666667,15085.995166666484,0.0,42000.000000000015,-11949.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,14,100000,360,45545,54455,2108.7756666666696,15108.77566666673,0.0,42000.000000000015,-11949.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,15,100000,360,45418,54582,2084.3204999999307,15084.320500000389,0.0,42000.000000000015,-11983.33333333332,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,16,100000,360,45198,54802,2047.0079999999557,15047.00800000024,0.0,42000.000000000015,-11933.33333333332,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,17,100000,360,45150,54850,2055.341499999959,15055.3415000001,0.0,42000.000000000015,-11933.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,18,100000,360,45389,54611,2090.0253333333017,15090.025333333555,0.0,42000.000000000015,-11966.666666666653,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,1.0,19,100000,360,45394,54606,2098.7931666666414,15098.7931666668,0.0,42000.000000000015,-11983.333333333325,13000.0,0.0,0.0,0.0,0.0,0.0,0
GXU,0.99,1,100000,360,43782,56218,1618.445202282183,14730.066959553502,111.62175727060524,37507.000000000015,-11986.733333333328,13000.0,15.92213,15.92213,0.0,254.23987448549124,12.526644999999949,0
GXU,0.99,2,100000,360,44643,55357,1882.5724575762658,14985.535605913008,102.96314833624315,38605.750000000015,-11942.872708333327,13000.0,15.01862,30.03724,0.0,243.80441168718406,18.219515833332068,0
GXU,0.99,3,100000,360,44981,55019,1922.2426734476212,15019.296707862506,97.05403441348301,39895.55555555558,-11916.644753086404,13000.0,14.03403,42.10209,0.0,238.12794987509054,21.302822222222538,0
GXU,0.99,4,100000,360,44611,55389,1849.5982938118536,14937.835041508937,88.23674769684096,39833.624999999956,-11933.331423611118,13000.0,14.48283,57.93132,0.0,222.8401484045642,22.426600416666165,0
GXU,0.99,5,100000,360,44855,55145,1919.8230058696786,15000.82883348567,81.00582761703038,39822.60000000002,-11910.666666666644,13000.0,14.41528,72.0764,0.0,208.5862549618667,23.302295399999974,0
