Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
MAX,1.0,1,100000,360,60435,39565,1944.848125,14944.848125,0.0,7560.0,-10905.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,2,100000,360,60004,39996,1904.941525,14904.941525,0.0,7560.0,-11157.5,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,3,100000,360,60244,39756,1930.1084,14930.1084,0.0,7560.0,-10657.5,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,4,100000,360,59941,40059,1915.578125,14915.578125,0.0,7560.0,-10890.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,5,100000,360,60125,39875,1912.2889,14912.2889,0.0,7560.0,-10922.5,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,6,100000,360,60025,39975,1911.647725,14911.647725,0.0,7560.0,-10840.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,7,100000,360,60169,39831,1932.85805,14932.85805,0.0,7560.0,-11265.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,8,100000,360,60335,39665,1941.785975,14941.785975,0.0,7560.0,-10840.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,9,100000,360,60150,39850,1914.618975,14914.618975,0.0,7560.0,-10755.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,10,100000,360,60044,39956,1927.306975,14927.306975,0.0,7560.0,-10905.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
MAX,1.0,11,100000,360,60463,39537,1949.2089,14949.2089,0.0,7560.0,-11105.0,13000.0,0.0,0.0,0.0,0.0,0.0,0
