Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
SAFE,1.0,1,100000,360,91329,8671,1366.407600000001,14366.407600000048,0.0,1749.9999999999818,-7918.33333333335,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,2,100000,360,91371,8629,1366.7821499999998,14366.782149999983,0.0,1749.9999999999818,-7020.0000000000155,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,3,100000,360,91183,8817,1361.265583333333,14361.265583333306,0.0,1749.9999999999818,-7721.666666666684,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,4,100000,360,91429,8571,1370.5111333333277,14370.511133333306,0.0,1749.9999999999818,-7078.333333333348,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,5,100000,360,91309,8691,1364.2020833333356,14364.20208333333,0.0,1749.9999999999818,-7830.000000000019,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,6,100000,360,91304,8696,1362.1218666666666,14362.121866666677,0.0,1749.9999999999818,-7823.333333333352,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,7,100000,360,91307,8693,1364.2291666666617,14364.22916666664,0.0,1749.9999999999818,-7775.000000000018,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,8,100000,360,91389,8611,1366.9061166666627,14366.906116666667,0.0,1749.9999999999818,-7851.666666666685,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,9,100000,360,91405,8595,1367.4620333333426,14367.46203333335,0.0,1749.9999999999818,-8803.333333333352,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,10,100000,360,91283,8717,1362.637500000005,14362.6375,0.0,1749.9999999999818,-8871.666666666684,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,11,100000,360,91278,8722,1360.8027666666662,14360.802766666697,0.0,1749.9999999999818,-8701.666666666686,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,12,100000,360,91392,8608,1369.5545166666727,14369.554516666625,0.0,1749.9999999999818,-6956.666666666683,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,13,100000,360,91470,8530,1371.4184666666752,14371.418466666639,0.0,1749.9999999999818,-7835.000000000017,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,14,100000,360,91279,8721,1363.5443833333368,14363.544383333337,0.0,1749.9999999999818,-6993.333333333348,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,15,100000,360,91224,8776,1359.4347333333344,14359.434733333266,0.0,1749.9999999999818,-7045.000000000015,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,16,100000,360,91336,8664,1363.4028833333355,14363.40288333336,0.0,1749.9999999999818,-8660.00000000002,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,17,100000,360,91142,8858,1355.5483666666696,14355.548366666702,0.0,1749.9999999999818,-8700.000000000022,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE,1.0,18,100000,360,91429,8571,1366.8395666666752,14366.839566666677,0.0,1749.9999999999818,-7861.666666666685,13000.0,0.0,0.0,0.0,0.0,0.0,0
