Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
SAFE_MM100,1.0,1,100000,360,72238,27762,1903.9119666658146,14903.911966672566,0.0,4306.666666666679,-9746.666666666653,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,2,100000,360,71948,28052,1896.1590666658622,14896.159066672484,0.0,4306.666666666679,-10436.666666666652,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,3,100000,360,71793,28207,1881.5421333325496,14881.542133339224,0.0,4306.666666666679,-9826.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,4,100000,360,72066,27934,1904.3161999991567,14904.31620000597,0.0,4306.666666666679,-9663.33333333332,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,5,100000,360,71844,28156,1882.5275333325321,14882.527533339213,0.0,4306.666666666679,-9889.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,6,100000,360,72084,27916,1905.5813999991558,14905.581400006033,0.0,4306.666666666679,-9836.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,7,100000,360,71953,28047,1893.7132333325317,14893.71323333911,0.0,4306.666666666679,-10609.999999999982,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,8,100000,360,71935,28065,1895.6618999991817,14895.661900005964,0.0,4306.666666666679,-10589.999999999985,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,9,100000,360,72043,27957,1897.2264333324877,14897.22643333932,0.0,4306.666666666679,-10279.999999999989,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,10,100000,360,72104,27896,1897.6020333325328,14897.602033339042,0.0,4306.666666666679,-11296.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,11,100000,360,72108,27892,1902.4655333325038,14902.465533339055,0.0,4306.666666666679,-10209.999999999978,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,12,100000,360,71924,28076,1884.3935999992088,14884.393600005686,0.0,4306.666666666679,-9743.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,13,100000,360,72064,27936,1903.1940333324926,14903.194033339127,0.0,4306.666666666679,-10813.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,14,100000,360,71823,28177,1878.0734666658868,14878.073466672447,0.0,4306.666666666679,-10193.33333333332,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,15,100000,360,71899,28101,1885.9678666658754,14885.967866672456,0.0,4306.666666666679,-10356.666666666653,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,16,100000,360,71877,28123,1885.3287666658684,14885.328766672537,0.0,4306.666666666679,-10136.666666666655,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,17,100000,360,72184,27816,1908.6396999991512,14908.639700005871,0.0,4306.666666666679,-10099.999999999987,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,18,100000,360,72078,27922,1904.5532999991542,14904.553300005968,0.0,4306.666666666679,-9833.333333333321,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,1.0,19,100000,360,72036,27964,1893.7537666658452,14893.753766672613,0.0,4306.666666666679,-9929.999999999985,13000.0,0.0,0.0,0.0,0.0,0.0,0
SAFE_MM100,0.99,1,100000,360,72361,27639,1958.9882892395112,14980.666278328023,21.677989093026486,4374.497666666677,-9948.001000000004,13000.0,0.0,0.0,0.0,12.044223383445516,56.647580333347165,0
SAFE_MM100,0.99,2,100000,360,72020,27980,1940.8342003373596,14960.829085661542,19.994885328563818,4374.49766666667,-10178.233333333332,13000.0,0.0,0.0,0.0,10.543044676969878,59.125615333359214,0
SAFE_MM100,0.99,3,100000,360,72405,27595,1972.883891899111,14990.169311328065,17.285419432840413,4377.942888888887,-10056.098527890477,13000.0,0.0,0.0,0.0,9.807333618344524,62.05582855555061,0
SAFE_MM100,0.99,4,100000,360,72821,27179,1996.7423940035,15014.08009233443,17.337698329827973,4373.748250000004,-10681.699999999997,13000.0,0.0,0.0,0.0,9.453683578984263,62.12356833335992,0
SAFE_MM100,0.99,5,100000,360,72568,27432,1977.5322432995158,14993.834197000362,16.30195369919945,4375.298600000002,-9708.412088329633,13000.0,0.0,0.0,0.0,9.352323665325313,63.2377266000425,0
SAFE_MM100,0.99,6,100000,360,72519,27481,1970.2416489562281,14986.849776661607,16.60812770910958,4377.94288888888,-9852.168333333335,13000.0,0.0,0.0,0.0,9.255680731415172,63.0258022777767,0
SAFE_MM100,0.99,7,100000,360,72508,27492,1973.8941244525936,14989.667208435727,15.773083975628996,4372.260571428571,-9845.119779425931,13000.0,0.0,0.0,0.0,9.061902030264921,63.77278195239963,0
SAFE_MM100,0.99,8,100000,360,72413,27587,1966.436996188347,14981.671655340055,15.23465914340303,4371.7068750000035,-10589.664011103705,13000.0,0.0,0.0,0.0,8.971834679522043,63.572405500035615,0
SAFE_MM100,0.99,9,100000,360,72546,27454,1962.483291226902,14976.193995802645,13.710704587946406,4368.035740740743,-9885.823888888888,13000.0,0.0,0.0,0.0,8.567546027912709,63.427566518574736,0
SAFE_MM100,0.99,10,100000,360,72536,27464,1959.2177653571941,14972.262035040385,13.044269677314253,4365.781933333346,-9844.249276660004,13000.0,0.0,0.0,0.0,7.965170161448009,62.24410206666629,0
SAFE_MM100,0.99,11,100000,360,72248,27752,1948.7712015402124,14961.234871158642,12.463669612730289,4366.407606060602,-10053.41524012748,13000.0,0.0,0.0,0.0,7.313123993435448,60.76338415146301,0
SAFE_MM100,0.99,12,100000,360,72487,27513,1957.3422873385284,14968.784633738094,11.442346385797384,4362.420861111106,-9951.818333333335,13000.0,0.0,0.0,0.0,6.790698886996867,60.423101694501405,0
SAFE_MM100,0.99,13,100000,360,72314,27686,1946.088167611848,14957.151291403448,11.063123797159614,4364.406256410257,-9912.615717948724,13000.0,0.0,0.0,0.0,6.42410673956835,59.58144002557562,0
SAFE_MM100,0.99,14,100000,360,72543,27457,1960.0303956741175,14970.377834657622,10.347438966546049,4359.9772380952345,-9948.232285714284,13000.0,0.0,0.0,0.0,5.881965324933748,58.817604214246714,0
SAFE_MM100,0.99,15,100000,360,72262,27738,1928.999883898922,14939.257904048229,10.258020146437888,4358.971933333327,-9577.315555555555,13000.0,0.0,0.0,0.0,5.597475565272456,58.056352000049415,0
